Type,Start,End,Transcript
IRR,0,5.829294,"Veteran: Yeah, I was uh, I just moved actually back down to Texas two years ago, but I am from here"
IRR,6.503709,7.995201,"Interviewer: Becuase you were up in Coloarado, weren't you?"
IRR,8.384286,11.043034,"Veteran: Yeah, yeah, I spent, uh, about five years in Colorado"
IRR,11.198668,16.8404,"Interviewer: Oh, that Fort Collins is great. I lived in Lone Tree, which is kind of about twenty minutes south of Denver."
IRR,25.763416,35.581328,"Interviewer: I was going to say it never gets old. I lived twenty minutes south of Denver. Um, and it was just, everyday looking at the mountains and, just, yeah amazing."
IRR,35.77587,37.517994,"Veteran: Yeah, it was hard coming back. It happens."
Q1,37.60457,50.212052,"Interviewer: Yep, yeah, I can, I could only image. So, good, well I appreciate you taking the time to visit with me today and so, um, looking through your resume, I just, you can only put so much informaiton in a reusme, or else, it would be ten pages"
BCV,50.353588,50.703765,"Veteran: Yeah"
Q1,50.842606,51.357006,"Interviewer: long"
BCV,51.61163,51.896958,"Veteran: Ha"
Q1,52.053935,55.339456,"Interviewer: so, tell, tell me about yourself and, and, what you're looking to do."
A1,56.125016,84.278589,"Veteran: So, um, let's see. I'm currently in research right now. Um, I am uh, trying to continue that. I've been in manufacturing for a little while with pharma and biotech and uh. I think what I'm now looking for is something that is, I don't know, more hands on. Something I can kind of have my work be attributed to, be proud of. I find research to be extremely rewarding in that thus far even though I've only been in it for a couple of months. It's really great."
BCI,84.411495,84.878397,"Interviewer: Uh huh."
A1,85.008705,85.805195,"Veteran: Really great"
Q2,86.071591,90.831398,"Interviewer: Good, how much of that did you do when you were bachelors or an undergrad? Did you do a lot of work?"
A2,90.831398,103.726218,"Veteran: I did some, but I didn't, I wasn't apart of too many labs, uh, I just kind of worked side project of the lab, and then, um. If I did contribute in any other reseach, it was kind of outside of that at the Raptor Reserch Program up iin Fort Collins"
BCI,103.878715,104.099196,"Interviewer: Okay."
A2,104.174244,111.160124,"Veteran: , which we just helped detail a bunch of things for them, and whatever study they were doing like light post preference and things like that."
Q3,111.413994,123.410782,"Interviewer: Gotcha, okay. Good. So, what n-, for your next opportunity, when you're done, I guess when are you, when are you going to wrap up your, you Master's? When is that going to be done?"
A3,124.22786,141.905289,"Veteran: I think that, that would probably be in  a couple of years. I really just kind of started and um. There's a lot of things I need to figure out and what I want to do and what I want to accomplish right now. It's kind of getting the basics and making sure I can experiment and have it go the way I want it to, ha."
BCI,142.140263,145.010946,"Interviewer: Just, hey, I'm still trying to figure out what I'm going to do when I grow up, so, "
A3,145.069847,145.674687,"Veteran: Ha ha ha."
Q4,146.321835,149.790745,"Interviewer: right? It's just, it's, it's a, yeah, it's an evolving process. Well good."
Q4,149.985287,163.162299,"Interviewer: So can you tell me about what you did to prepare for our interview today in advance, whether that's just kind of going back to your resume, or doing research, or anything that would help you to, to be ready?"
A4,163.992347,219.877922,"Veteran: Yeah, so what I had starrted with, is I, I kind of reflected on my manufacturing career, I guess. Since I did spin, I was really involved with for example, a Fuji film, uh, I was a team lead there, and I really helped them a lot with their COVID projects, and, and I think that was proabably one of my uh, um, most kind of influential, I guess, like, experiences that I've had that really want to jump outside the box and learn more, and become more of a teacher, rather than just a manufacturing, push-buttons, and, so fourth, and uh. So, then I really reflected on that kind of how the processes were, made sure I understood what I was doing there, and how I helped the flow and got the team together and. That, that was, that was big for me, becuase right now I'm back in the student seat learning, trying to understand, making sure I can do things."
Q5,219.929801,236.452943,"Interviewer: Okay, good. So, I, I don't like asking the quesiton of what are your biggest strengths and weaknesses, right? But what would you think, what would you say are some string points, er, or, a true strength of you, uh, that bring to any position that you'd apply for?"
A5,237.088449,261.432201,"Veteran: Yeah, so I, I would have to say organizational skills and making sure tasks are uh, stayed on, and that they are accoplished, uh. I don't like to feel disorderly, or uh, like I'm out of control, uh, or that the process is out of control and just having that state of really making sure everybody knows what they're doing, and I know what I'm doing, and I'm doing what I can to allow them to do that, that."
