Type,Start,End,Transcript
IRR,0,1.34955,"Interviewer: Hey <NAME>, how ya doing?"
IRR,1.34955,3.327305,"Veteran: I'm doing well. How are you?"
IRR,3.327305,5.67589,"Interviewer: I am doing well, thanks for asking."
Q1,6.850182,15.145596,"Interviewer: Alright <NAME> we'll jump into this. Really quick, uh, if at any point in time you don't hear me clearly or don't understand a question, just let me know and I'll, and I'll just repeat it to you. Alright?"
BCV,15.195692,15.811887,"Veteran: Okay."
Q1,15.811887,21.806958,"Interviewer: Alright, alright, so tell me a little bit about your educational background and work experience."
A1,22.98125,92.944348,"Veteran: Educational background is, uh, Community College of the Airforce is where I got my Associate's Degree in emergency management. Um, I just finished, um, back in December. I just finished my Disaster and Emergency Management, uh, Bachelor's Degree. Um, graduated Summa Cum Laude, um, took a whole lot of time and extra effort, but I think it was worth it because I did it to show my kids. Um, and then, work background is joining the military at a seven basically, seventeen. Worked until they, until they told me it was time to go home. Um, and then worked for the Army afterwards and taught, uh, for Texas A and M down here at TEEX and ran the American Red Cross for the Brazos Valley while I worked at the airport; run ramp operations and now I work for the College of Architecture. In charge of all their buildings, all their inventory and facility management, inventory management, and asset management. That type, type work."
Q2,94.48947,104.192832,"Interviewer: Alright, alright, well thank you for that, uh, so our next set of questions I'm about to ask you, we use the star format for interviewing. Have you heard of that?"
BCV,104.563661,105.428929,"Veteran: No, uhuh."
Q2,105.428929,123.290533,"Interviewer: Alright, so basically it's a situation, task, action, and results, right? So, uh, this, si simplify it, it just, I'm going to ask you to give me examples and just tell me a story. But, just make sure it has a beg beginning, middle, and end. And, uh, teeny question, and you'll be fine."
BCV,123.661362,124.403021,"Veteran: Alright."
Q2,124.835655,134.539017,"Interviewer: Alright, alright, so describe a time when you had to deal with a major change at your work process or job duties, and how did you deal with that change?"
BCV,135.46609,138.247309,"Veteran: I didn't hear the first part of that."
Q2,138.247309,151.782572,"Interviewer: Yes sir, yes sir. So, describe a time when you had to deal with a major change in your work process or job duties? And then, how did you deal with that change?"
A2,152.524231,257.036244,"Veteran: I can do that fairly recently, when I was working for the airport. Um, COVID happend as everybody in deployment knows and the company I was working for, um, went from twenty-three employees to seven at the snap of a finger. HR came in and said that they had to lay off s, uh, sixteen people. And, unfortunately, in doing so, our workload did not change. So, we did what, uh, what we knew how to do which was grin back and you keep pushing through until the job gets done because that's what you do. When the mission, when there's a mission, you just keep pushing through until the mission happens, um, and then you just have to explain to the customers that you got to understand that um, we're fairly understaffed and we are moving as quickly as possible.Um, so we all ended up working rather late work schedules is what we'll call it. Um, and taking on a lot of additional duties we did that for about five months and then we started hiring people back on. And then, I was the company trainer, so I had the responsibility of training all of those folks, um, as they were coming on, so we had to step away from working out on the ramp neccessarily. And training people to do that, so thats, that was a an example of one time that we had a rapid change and how we dealt with it."
Q3,259.137609,260.373706,"Interviewer: Alright."
Q3,262.042437,281.387358,"Interviewer: Alright, so this is a two part question. So what is the toughest work or, work or school group that you had to get cooperation from and then how did you go about establishing rapport with that group? And what, uh, actions did you take to get confidence, to gain their confidence?"
