Type,Start,End,Transcript
Q1,0.48,2.289,"Interviewer: Excellent, please. Thank you."
Q1,2.3,4.39,"Interviewer: These are good to meet you."
BCV,4.4,6.389,"Veteran: Yeah, Absolutely. Pleasure."
Q1,7,8.86,"Interviewer: How How are you doing today?"
BCV,8.87,17.03,"Veteran: Well, I can't, I can't complain. It's a it's It's a little cooler here than it has been for a while. So it's uh it actually is a little bit nice today."
Q1,18.95,21,"Interviewer: I can't, can't. I'll do with that."
Q1,22.03,31.689,"Interviewer: We're. Ah, we'll just do a quick introduction. My name is <NAME>. I've been with the company for just over fifteen years."
Q1,31.789997,45.340884,"Interviewer: and um, today we're, we're going to be doing some uh interview questions, um if you need clarification at any point of course just let me know., I'd be happy to provide any framework or details for you."
BCV,45.683403,46.090143,"Veteran: okay"
Q1,47.72,49.399,"Interviewer: But ah,"
Q1,49.9,65.479,"Interviewer: ah! I'd really like to just open with you telling me your story? How did you get where you are today? Tell me a little bit about your work, experience, and educational background, and how it prepared you for this position."
A1,65.9,67.27,"Veteran: Okay,"
A1,67.28,82.539,"Veteran: all right. So hash as you wear my name, <NAME>. So i'm a recently transitioned. Ah, report officer. So it was twenty, seven years, three months, and twelve days. But you know who's who's counting down today?"
A1,82.55,90.879,"Veteran: And so ah! And actually recently retired. So a fisher retired September one. So. Ah, I've ah, you know. Been retired here for less than a month now."
A1,90.92,108.769,"Veteran: Um, so thank you. Thank you. I grew up in ah in in Texas, born and raised. Ah, I met my wife here in Texas. Well, two two kids ah, both adults. Ah, were recent. Well, I guess about fourteen months now."
A1,108.78,112.4,"Veteran: Uh, but the recent grandparents as well. Um,"
BCI,113.46,115.589,"Interviewer: Yep. So that's the fun Part"
A1,115.6,118.69,"Veteran: it is it? Is it?"
A1,120,132.349,"Veteran: Yeah, yeah, I I think, and I and I think it's true. It's been. It's been. It's been good so far. Um, So I went to the Marine Corps really right out of High School a Navy rotc through University of Texas."
A1,132.36,152.83,"Veteran: Um Commission in ninety-five, you know. Served twenty-seven years. Various ah positions within that within the United States um outside the United States as well. Um served served in Ah Korea, I've served in Okinawa two combat deployments, one to Iraq, one to Afghanistan."
A1,152.84,170.069,"Veteran: Um I've had the opportunity as well to ah to ah further my education. Ah, Master's degree in policy economics from Tulane University. Ah! While serving with the Navy um Rtc. There as as one of the staff, and as an associate professor with University."
A1,172.34,194.28,"Veteran: you see. Ah, various schools to the Marine Corps as well. Um largely planning, planning. Ah schools! They teach planning teacher, staff for preparing for command in future positions. So Marine Corps command and Staff College attended the Nato Defense college in in Rome, Italy, which is, which was pretty fun. Pretty pretty neat experience."
A1,194.29,211.109,"Veteran: Um! Ah! And then various other smaller schools relating to my my ah mos. So i'm a i'm an infantry officer by trade. Um all the way up into becoming a kernel which has become a kernel. Your Your specialty changes to ground chrome"
A1,211.12,222.029,"Veteran: last last. A couple of jobs were quite the biggest jobs I had prior to my last job was as the chief of Staff with Fourth Marine Division."
A1,222.04,237.649,"Veteran: Um! That's the That's the reserve component division of the Marine Corps and Ah, we're base out of New Orleans. So it's about ah ninety three ah units spread about eight across, eighty, eight sites and thirty six states."
A1,237.66,250.749,"Veteran: Um! My boss is Ah is a general officer, but reserved general officer. So um it it. It's kind of unique, in a sense that you know. I'm pretty much left in charge of the division for for"
A1,250.76,253.89,"Veteran: about three quarters of the year. So that was a that was a very,"
A1,253.9,258.49,"Veteran: very rewarding experience, and I really really enjoyed that Glad I did that as my"
A1,258.5,268.75,"Veteran: as my last one before I retired, and prior to that I was the assistant chief of staff operations in training at Paris Island. So it's one of our recruit training. Depos."
A1,268.76,287.84,"Veteran: Um, very, very. Ah! Ah! Rewarding experience as well. So your your your hands on and in in. Ah, how the how the base works, and what happens for base. Everything kind of falls under your purview, you know. Ah, for for my boss, who was a a journalist as well,"
A1,287.85,295.35,"Veteran: a couple of interesting things we did there. We did do the"
A1,295.36,309.6,"Veteran: integrated training. Ah, we're! Ah, the ring for now trains! Ah, ah! Female recruits and male recruits! And in the same training companies. So as I was a spearhead for for how we would do that as a as a service."
A1,309.61,326.089,"Veteran: Um, and then um! The other two things, I guess would be Um, you know, being at the Recruit Training Depot when Covid first hit, you know a spearheading effort. And okay, well, how how do you continue to train recruits in a safe environment"
A1,326.38,330.7,"Veteran: while we're trying to deal with the with the Covid pandemic as well?"
