Type,Start,End,Transcript
IRR,0,1.175238,"Interviewer: How are you do, how are you doing today?"
IRR,1.525414,2.485158,"Veteran: Good, how are you?"
IRR,2.485158,33.106147,"Interviewer: Good. We have, I have to tell you, we've got a uh, a veterans employee resource group, so just think of it as if you work for a company or if you're coming to the organization, there, it's a place for all veterans, or people who support veterans, right? Just a community. And uh, it is, uh, so fun watching the Navy guys go at it with the, with, it's, it's more, it is more colorful, uh, it is just, it's, you'd have to be a fly on the wall, but it's just, it's amazing, so uh, um."
IRR,33.106147,34.312311,"Veteran: Cursing like sailors?"
IRR,34.809046,37.509592,"Interviewer: Yeah, uh huh, pretty much, yeah, it's like "
IRR,37.54572,38.151282,"Veteran: That's, that's funny."
IRR,38.268274,45.566071,"Interviewer:  the true colors come out, so yeah I, I come from a military family. I did not serve, but I was in law enforcement for many years and uh,"
IRR,45.629294,46.062678,"Veteran: Okay."
IRR,46.098954,52.132282,"Interviewer:  so just para-military. There's a lot of transferrable experience there, so, but. "
IRR,52.521489,57.709289,"Interviewer: Well great. So, are you, are you from, uh, College Station, or what brought you down?"
IRR,58.513397,60.974538,"Veteran: No, I'm actually from Corpus Christi originally."
Q1,61.019698,61.128081,"Interviewer: Okay."
BCV,61.17324,64.036361,"Veteran:  I'm here in College Station, I'm going to Texas A and M."
Q1,64.284825,67.734712,"Interviewer: Okay, great. So, what year? You're a junior? Is that right?"
BCV,67.955193,68.551791,"Veteran: Correct."
Q1,68.733364,70.497216,"Interviewer: Okay, good deal, well good, well, yeah, so tell me a little bit more about yourself. You can only put so much on a resume, right? So."
A1,75.127327,105.312267,"Veteran: Right. Yeah, so um, well I guess, in a nutshell, I joined the Navy because I wanted to go back to school, but I couldn't afford it, and I didn't have any skills at the time. So, the minimum wage being what it is, it was just going to take too long and I was very and still am impatient when it comes to, you know I had this lighting in a bottle idea and it was just going to take too long. At the time, I thought the best idea was to join the Navy, so I did and."
BCI,106.31481,107.628894,"Interviewer: Good. How, how was your experience?"
A1,108.108766,134.177461,"Veteran: Oh, it was awesome. It was so much fun. I haven't had that much fun in gee, my entire life before that. I- it was amazing. I learned so much, I got to see a lot. I got to, I met the most amazing people. I had, it was just, it was so much. I can't say enough good things about it. It was so much fun. Like, don't get me wrong, there was some moments, some where you are just terrified, but, you know. Um, all in all, it was amazing. It was so much fun, yeah."
Q2,134.177461,142.633575,"Interviewer: That's great, well I appreciate your service. That's fantastic. Well, good, so. What have, what have you done to prepare youself for the interview today?"
A2,143.554409,154.527236,"Veteran: Um, I, I looked into you guys um, I forget the name of your company already, but um, I looked into ya'll. Um, I like, uh, uh, like that ya'll are employee owned."
BCI,154.604423,154.876783,"Interviewer: Yep."
A2,154.942704,164.769441,"Veteran:  And I like that ya'll are, ya'll are kind of in everything. Ya'll have an aviation branch, ya'll have an engineering branch, and ya'll are, ya'll are some heavy hitters."
BCI,165.005962,179.265683,"Interviewer: Yes, we have uh, the aviation and federal side, is uh, we design the facility that in Pencicola that allows the F-thirty-five to be manufactured. Um, so"
A2,179.374066,179.84307,"Veteran: Very cool."
Q3,179.988237,194.132235,"Interviewer:   I did. There's a lot of things we can't, I can't even go into that sector, it's, you know. You can't even, here in, in Kansas City, but with that being said, there's a lot of things that we do that are, uh. I had no idea. You know? "
BCV,194.222554,194.667209,"Veteran: Yeah."
Q3,194.854789,203.398992,"Interviewer: So it's well diverse and, and the military side, and just found out that we build the, the hanger that houses the F-twenty-twos on Oahu"
BCV,203.471247,203.96634,"Veteran: Oh."
Q3,204.067354,216.42303,"Interviewer: So we're, right. We're doing things that not only that bridges and highways, and stuff, but we're, we're supporting and building military instalations and different things that are protecting our nation's borders, and that means a lot. You know? It's "
BCV,216.650511,217.402742,"Veteran: That's awesome."
Q3,217.488798,220.162248,"Interviewer: yeah, it's really really cool, so good. "
Q3,220.230093,231.785918,"Interviewer: So, what, what are, ah, I've been asking people what is a strenght, a strong point for you that you would bring to this position that you're applying to?"
A3,232.810508,324.82911,"Veteran: Um, I think something that we all have in common is that our ability to adapt to various situations, um, I, I can, I, I can't, I can think of a thousand different times off the top of my head where we were tasked to do something and I didn't have the right equipment, we didn't have the right tools, or the, the tools and equipment we did have didn't work, or they broke in the middle of a job and you just, you have to improvise. Um, you know, I was in aviation, so like the mission becomes first. The mission is like, God, so like you have, you have to get those jet wheels off the ground by any means neccessary, so, it, you, have to learn, to work with what you have. You have to essentially make peanuts out of pineapples. You just got to work, to make magic happen. And just having to do that day in and day out and, the, some of the worst working conditions you can think of on the flight deck on the aircraft carrier, or on the flight line in Japan, or whatever, whereever part of the world you're in. You learn to adapt. It becomes engrained in you. And that, having to think like that, it, that's not something you just lose over overnight, you, you know, that, that though process will be with you forever.and you're going to have that with pretty much any veteran you have whether they were turning wrenches like myself or whether they were pushing paperwork in an office building. Like, it, it doesn't matter what you were doing, er, what enviornment you're in, you're going to have that trait with you for the rest of you life, likely."
Q4,324.82911,329.031228,"Interviewer: Right. That's all, yeah. So, conversely, what's something you need to improve on?"
A4,330.393026,345.958925,"Veteran: Uh, my impatience. I think um, making myself. Because, um, like, being in that mindset, um, it's not, doesn't alwasy always compute, like with other situations, you know, um. You know, like, I'm a civilian now. I don't have to think that way anymore, but it's just "
BCI,346.008304,346.211819,"Interviewer: Yeah."
A4,346.284074,349.26461,"Veteran: not something you can forget. "
BCI,349.427184,349.842653,"Interviewer: Right"
A4,349.987164,350.836165,"Veteran: It doesn't go away"
BCI,350.90842,357.37528,"Interviewer: I, I understand it, like I said, the para-military, the law enforcement. I-, it doesn't. it never goes away. So, "
A4,357.429472,357.628174,"Veteran: Yeah."
Q5,357.718493,360.428071,"Interviewer: completely understand. Absolutely."
Q5,360.6379,366.500114,"Interviewer: So, in your military background, w-, w-, what's one of the biggest achievements that you're really proud of?"
A5,368.458509,369.950001,"Veteran: Oh man, um"
BCI,371.649006,376.862745,"Interviewer: Including, including not dying on a aircraft carrier. Ha ha ha."
