Type,Start,End,Transcript
Q1,0,13.61,"Interviewer: I help oversee our hiring programs and had some questions about your very impressive resume first off, thank you for your service as a veteran we truly appreciate that and just had a couple questions regarding your background."
BCV,13.901635,14.409414,"Veteran: Hmm"
Q1,14.677674,26,"Interviewer: Umm So the goal of this position, we are looking for an experience manager to help support our environmental, health and safety function so we're looking for someone that has experienced and leadership."
Q1,26.6,32.81,"Interviewer: To help motivate the team and create specific strategies within the greenfield operation space."
BCV,33.38,33.68,"Veteran: But with."
Q1,33.71,39.02,"Interviewer: That being said, can you give us a high level overview in terms of your experience from a leadership perspective."
A1,40.46,44.27,"Veteran: So I worked from ground up we're going from."
A1,46.01,49.82,"Veteran: manager safety specialist all the way up through to."
A1,50.365883,58.07,"Veteran: Umm Currently assistant director of environmental, health and safety for 2300 acre campus so there's multiple."
A1,58.346629,67.13,"Veteran: Uh state agencies and numerous different stakeholders at work in and around the campus and there was no DHS Program."
A1,67.34,77.27,"Veteran: When I arrived, and now there is a comprehensive complete, one that is that is running pretty well with all the buy in and partnership, from all the TEAM members out there stood up numerous."
A1,78.02,93.08,"Veteran: board cells and centers to kind of work through things and develop each individual project and the in the program so that everybody got buy in and they were all understanding of what we're trying to do and where the future of the campus was going so."
Q2,94.25,100.16,"Interviewer: And what's your philosophy in terms of project about when you're building things from the ground up and working with different States."
A2,100.34,112.52,"Veteran: You got you got you assess it you don't understand what's going on and every little facet out there, that may have impact as this thing grows in the people changes, a huge."
A2,113.84,120.2,"Veteran: huge challenge for a lot of people they like doing it doing things as they've done it for years, and when you come in and say there's going to be changed or."
A2,120.68,129.5,"Veteran: or mentioned some change people have a little apprehension so it's it's working through the stakeholders those key leaders out there in the field to say hey."
A2,129.98,140.9,"Veteran: we're doing this it's for the better the organization and really drive in that bias so with program development we've got to figure out what is the situation and then."
A2,141.8,152.21,"Veteran: identify those key areas that we're weekend, or that we need some emphasis develop some strategies present those strategies to the group, especially with our with."
A2,152.573081,154.163482,"Veteran: Our."
A2,157.22,163.19,"Veteran: Council of some sort, so we have a safety Council, so we bring those guys together and we presented as teams that hey these are our gaps."
A2,163.55,175.25,"Veteran: We need to figure out how to how to cover these gaps and then we move forward and as we produce those procedures we're getting buy in from those guys on a on a methodical basis, so it probably took."
A2,176.15,180.95,"Veteran: Two and a half years to get everything kind of up and running, and that was going through that process of."
A2,181.43,187.73,"Veteran: understanding what we're doing where we're at what our gaps and how we're going to fill those gaps, making sure that everybody feels."
A2,188.27,199.37,"Veteran: Good about what we're doing to the best of the best they can, but, as you know, not everybody's going to appreciate what's happening you just got to work through those problems."
A2,200.33,210.74,"Veteran: get to the end solution that the boss wants to look at, so there are goals and there are there are priorities and sometimes they don't match up with everybody out there you have to work to make it feel as good as possible."
Q3,212.27,215.6,"Interviewer: And if we can speak to the change management aspect of things."
Q3,215.78,216.86,"Interviewer: Did you experience."
Q3,218.63,221.81,"Interviewer: Can you speak to maybe a specific time where you had to."
Q3,222.617778,230.12,"Interviewer: Uh tailor or change your approach to whether its executive TEAM members to get there by can you provide a specific example."
A3,230.12,232.85,"Veteran: So everybody out there in absolutely."
A3,233.434419,234.066747,"Veteran: Umm"
A3,234.98,239.69,"Veteran: every level of the organization and just speaking my background, I had a very distinct."
A3,240.86,249.86,"Veteran: advantage from my background military service that I went from private all the way through senior level warrant officer, which was."
A3,250.58,267.47,"Veteran: I knew how to talk to the guys, all the way down my ground and I knew how to talk to three four star generals and I develop those skills over years of trial and error and just working through that so it was a good asset to me when I came to the positions that I had that I."
A3,268.76,272.81,"Veteran: could have those conversations and get on the ground level and explain it to those guys on the ground level."
A3,273.23,282.11,"Veteran: And then and present the overall strategy to the senior senior managers and executives to say hey this is this is where you want to."
A3,282.98,294.86,"Veteran: This is where you want to go this how I see us getting there, and will continue to work through it so it's it's a process change is always a process change management and there's a whole strategy board."
A3,295.1,308.78,"Veteran: Right this layman's it you got to work through it and talk to folks and really integrate and I changed my you change your approach routinely when you're dependent on the different audiences you're not that you're."
A3,309.95,315.92,"Veteran: Not that you're being a chameleon or anything but you've got to be able to explain it a different level."
A3,316.91,328.16,"Veteran: So that people understand it better because guys that are turning wrenches won't understand the larger terms or the larger concepts that you're presenting to executives and senior leadership."
Q4,329.15,334.19,"Interviewer: Would you say that's part of your leadership philosophy, especially because i'm in change management directly."
A4,334.55,335.21,"Veteran: So you gotta."
A4,335.45,338.99,"Veteran: gotta get everybody you got to talk to everybody treat everybody with respect so."
A4,340.16,347.3,"Veteran: it's not their fault that they don't aren't at the level, you are they they are just accepting and they're they're happy where they're at so."
A4,348.2,355.67,"Veteran: Just respecting them as individuals and and working through it and explain it to them so they can gain understanding, where we're going and what we're doing."
Q5,358.73,365.33,"Interviewer: And can you talk about some of the different data sources that you've used over your career in terms of helping maybe getting that buy in."
A5,366.17,370.01,"Veteran: So there's an age that's build this huge."
BCI,371.78,375.53,"Interviewer: Sorry yeah so no you're fine and you did i'll just."
A5,376.31,384.62,"Veteran: giving you the gamut so you have you have injury data, you have incident data, you have near miss data, so you bring all those things together and."
A5,385.82,389.33,"Veteran: And the real thing that you can tell the health of a."
A5,390.41,397.61,"Veteran: environmental, health and safety culture in an organization, whether it be academic or industry is that you look at."
A5,398.39,405.89,"Veteran: How people feel about reporting those things that could have happened, it could have hurt somebody or could have made some property damage."
A5,406.58,412.85,"Veteran: How they feel that how they go about it they're willing to do that, you have a growing and really solid safety culture out there that's going to say."
A5,413.36,423.14,"Veteran: hey we're going to take care of each other we're going to be each other's keeper where it's not it's not attribute tunnel it's just hey we're going to take care of it, so we can move forward here because i've always believed."
A5,424.58,433.37,"Veteran: A senior officer told me that every time you step out there you're talking three things really especially and especially with environmental, health and safety."
A5,433.94,441.2,"Veteran: you're looking at people mission and reputation, so if you really focus take care of your people."
A5,441.65,450.29,"Veteran: Your mission is going to succeed, so it doesn't mean you're going to hand hold them you're not going to go on when are some you're good you're going to get them to where they need to be keep them safe keep them."
A5,451.64,457.37,"Veteran: Healthy and ready to go they get their job done and then your mission succeeds, if your mission succeeds."
A5,458.06,466.46,"Veteran: you're going to make money for the company to do well, your boss savvier have everybody's everybody's great now you gain your reputation you grow their reputation, if any of those."
A5,467.03,470.99,"Veteran: are the first to fail if you're not making mission you're not taking care of your people."
A5,471.56,484.28,"Veteran: Your reputation can suffer or if you make a misstep in in in your mission or operations and something crazy happens or you're not doing something unethical happens in your reputation suffers and the bottom line of the company gets it so."
Q6,485.78,500.21,"Interviewer: What would you say is your most favorite over the course of your 15 plus year career in construction and industrial ehs industries, what is your most favorite and I guess least challenging thing you've experience."
BCV,500.96,503.93,"Veteran: The least challenging thing or my most favorite."
Q6,504.59,506.12,"Interviewer: Your favorite and least."
Q6,507.92,510.77,"Interviewer: favorite thing that you enjoy about your industry and the least challenging."
BCV,511.22,512.09,"Veteran: I, like my."
Q6,512.24,513.68,"Interviewer: thing that might enjoy."
A6,513.77,521.03,"Veteran: The thing that I like the most is live learn from other folks and I tried to do that i'm not i'm not the smartest guy in the room, it takes a whole."
A6,521.45,525.47,"Veteran: Group to do the right way yeah there's a bunch of smart people i'm not a dummy but."
A6,526.31,535.01,"Veteran: When i'm learning from those guys on the ground, and I go out the when I was in construction, the lowest Palmer when I go out to the guys at the shops out here, where I go to the."
A6,535.52,549.56,"Veteran: Researchers and just ask questions and I gain that knowledge and understanding, and then we have a point, point of discussion and then we can tailor the message to bit what they're they're doing so they can have a better grasp on where we're going."
Q7,552.02,559.04,"Interviewer: Can you tell me about a mistake, you made in the past and what happened and what did you do about it, and we can stick to the same discussion we."
A7,559.1,560.27,"Veteran: Know it's."
A7,562.25,564.26,"Veteran: In initially when I first came out of the service."
A7,565.37,568.94,"Veteran: aggressive guy so understanding."
A7,570.77,573.26,"Veteran: responses for."
A7,575.48,577.4,"Veteran: I don't like Gray there's a lot of great."
A7,578.66,581.78,"Veteran: I don't like Gray, I like hey, this is what we put out this which."
BCI,582.29,583.37,"Interviewer: is pretty direct to."
A7,583.43,586.07,"Veteran: yeah it's also there's reasons behind it."
A7,586.1,593.27,"Veteran: Just like when you talk about some sort of safety protocols and things out there, OSHA OSHA guidelines or m show or different."
A7,594.8,596.03,"Veteran: The which call it."
A7,597.92,602.78,"Veteran: laws and rules and regulations that are out there they're in there for purpose usually written in blood, but."
A7,603.8,622.64,"Veteran: going out in the approach learning how to approach folks do this do this do this more of a little more soft skill The response was was pretty negative when I first came out just because Why is he just rude and while it's not that i'm rude I was just direct."
A7,622.88,627.17,"Veteran: peering right right as receptive to a direct."
A7,628.19,639.71,"Veteran: comment, as opposed to being a little softer on the side, so it, it was helpful, it was good to have partners out there when you're when you're coming out and you have a guy that worked for you that's a little more."
A7,641.06,643.94,"Veteran: gentle when it comes to things, but when he runs into the heart of."
A7,645.17,651.89,"Veteran: The challenging spot, then you can step in and help and it's just that good cop, bad cop sometime but they switch roles and just."
A7,653.3,655.58,"Veteran: go with it, so the biggest mistake was just being."
A7,656.78,660.83,"Veteran: Very to blunt with some folks and the reaction and they shut down."
Q8,661.61,663.05,"Interviewer: To kind of adapt into the culture."
Q8,663.59,664.52,"Interviewer: Coming from an altar."
Q8,667.46,671.3,"Interviewer: Perfect um and why do you feel you're the strongest candidate for the role."
A8,673.91,677.3,"Veteran: I could say that my resume speaks for itself, but overall, that."
A8,679.82,690.08,"Veteran: The leadership I brought from the service over 26 years and just it was I was a very technical individual and environmental, health and safety overall fit the bill is technical."
A8,690.92,695.54,"Veteran: People oriented working through that you really wanted to take care of people and."
A8,696.38,709.49,"Veteran: More on the technical side and understanding systems and processes and procedures in working through those things to to have the best outcome as possible now and not even exactly perfect because there's people on them in the mix so."
A8,711.17,725.57,"Veteran: I like taking care of people out there in the field and in every different industry and in application that I get into and it's just how do you do that, how do you how do you manage work through that to get the best outcome so."
BCI,728.42,728.75,"Interviewer: And then."
A8,729.74,731.09,"Veteran: i'm passionate about what I do."
Q9,732.47,745.34,"Interviewer: that's great um and what advice would you give a transitioning service Member that's making that transition that may have similar experiences you in terms of words of advice and transitioning into the private sector, for you to think of anything."
A9,747.74,750.29,"Veteran: I have a laundry list of recommendations."
A9,751.58,752.24,"Veteran: service."
A9,752.6,753.47,"Veteran: That are."
A9,756.98,757.97,"Veteran: know what you're worth."
A9,758.99,764,"Veteran: understand what your expectations are manage your expectations you're not gonna you know."
