Type,Start,End,Transcript
IRR,0.08564,15.02022,"Interviewer: Oh, so um, did you uh, and first of all let me introduce myself. My name's <NAME> uh, I work for a company called <NAME>, uh, we are a software development company, but I've worn many hats over the years, and I am a- I was in the Army as well, so- "
IRR,15.473164,26.620626,"Interviewer: That's why they asked me to do these interviews. Uh, yeah yeah yeah. And so um, uh, did they give y-y-you uh- the job description for which we're interviewing?"
IRR,27.362952,28.067532,"Veteran: Yes, they did. "
IRR,28.507894,36.535074,"Interviewer: Ok, a-and it's right up here. Right up here uh, your alley as far as uh, the school you're going to and everything, to be vet-veterinary. Uh- "
IRR,36.673473,37.138999,"Veteran: Yes."
IRR,37.239654,39.919574,"Interviewer: Are you going to be a verterinarian or vet tech or-"
IRR,40.334773,45.078106,"Veteran: I'm currently a veterinary technician, but I'm working on getting into vet school."
IRR,45.858177,53.294012,"Interviewer: Cool cool, um, Have you uh, have you chosen uh, a place like you'd like to do interneships and stuff like that?"
IRR,54.149574,55.219025,"Veteran: No, I'm not there yet. "
Q1,55.39517,62.289989,"Interviewer: Yeah ok, ok. Well, I gotta suggest- there's a- I'm sure you know, with all the horse stuff, I'm sure you know, Texas Equine"
BCV,62.831006,63.28395,"Veteran: Yes."
Q1,63.447513,83.666443,"Interviewer: A-a-and they're great, that's where we take our horses they're- they're great out there. Um, but um, yeah, so [clears throat], um, i-it says that uh, you spent a large amount of time uh, in Colorado at the, you know, Aston Creek Veterinary Clinic, and-"
Q1,84.056478,102.564285,"Interviewer: Little uh, equine medical center um, obviously you're doing large animal stuff here, it says- um, if you had to choose in those jobs, a challenge that you had and how you overcame it, do you have an example of something like that? Like ""this is the challenge and this is how I helped overcome it?"""
BCV,104.174754,107.055983,"Veteran: In regards, just-just the job? Uh-"
Q1,107.118891,112.239678,"Interviewer: Just the job, yeah. And it could be with a person, or an animal, or uh, anything."
A1,113.824983,127.312658,"Veteran: I think uh- I work in large animal ICU right now, at the hospital, and a major problem that I deal with on a day-to-day basis is not everybody gets along. When working with a bunch of females, it just kinda happens. "
A1,127.89142,141.957856,"Veteran: Um, so I think that dealing with that- as long as I'm paying attention to patient care, and everything is done properly in that route, then everything else can be taken aside. "
A1,142.171746,160.956352,"Veteran: And it's not necessarily, needs to be um, getting in the way of our job. Um, I have had problems in the past with certain individuals, but I like to finish whatever I'm doing first, and then later on, um, just talk with them and see if we can resolve our issues."
Q2,162.705221,173.286503,"Interviewer: Ok, um, a-and when you have uh-uh, a challenge like that and you talk through issues, um, w-is it - "
Q2,175.500897,179.350923,"Interviewer: How do you handle that, how do you handle talking to somebody about a difference of opinion like that?"
A2,180.281975,195.480773,"Veteran: I definitely try to talk to them, just one-on-one, or, if I need a mediator I get my boss involved, um, I share with them how I'm feeling during that time that we had in disagreement or whatever it may be."
A2,195.732408,204.539658,"Veteran: Uh, and just try to feel out, like, what they may be feeling about it as well, and just see if they can get on even ground together so we can work with one another."
Q3,205.646855,223.286519,"Interviewer: Ok, ok, cool. So um, uh, seems like you did a lot, cause uh, you know the job description is-is, you know, uh, assisting the vets-vets with the care of animals and-and helping to uh, schedule appointments-"
Q3,223.613645,239.756076,"Interviewer: and uh, you know, performing initial evaluations and things like that, so, um, you know, from a- from a more of a, uh, a vet tech sort of perspective, um, when you meet somebody that-that, let's say they bring you a horse."
Q3,240.27193,249.142089,"Interviewer: And they say, ""my horse has"", pick-pick something wrong with it. What kind of questions do you ask that person? Initially. Just getting it off the trailer, what do you ask?"
A3,250.110886,263.837614,"Veteran: Initially, I try to get my best knowledge as fast as possible about this animal, whether it be it's- if it's a colic, um, whether they've colicked in the past, they're up to date on their vaccines."
A3,264.366049,276.482309,"Veteran: Um, what exactly is this animal doing while he's colicking, or while he's having this problem. Um, I think especially with an animal who is really sick, dealing with emergencies and everything-"
A3,276.733945,284.283016,"Veteran: Um, getting the information as fast as possible, so knowing what questions asked, so open-ended questions are really good."
