Type,Start,End,Transcript
IRR,0,0.13,"Veteran: Good are you."
IRR,0.43,5.41,"Interviewer: doing well doing well, so um did they uh give you a heads up."
IRR,5.44,7.24,"Interviewer: On the position for which we're interviewing."
IRR,8.2,17.77,"Veteran: They did they sent me a PDF Doc with the list of description about what position, I actually applied for, and like what pre qualifications they're looking for."
Q1,18.49,27.49,"Interviewer: Right right and so it's it's a as an assistant construction manager and obviously you've read it, and I noticed that your uh."
Q1,28.96,35.68,"Interviewer: Your classes uh focus on that construction management and and whatnot and it's what you're taking right now."
Q1,37.72,39.6226,"Interviewer: And I guess you uh."
Q1,41.8,49.75,"Interviewer: got an associates with the construction management, this year, and now you're going for a bs in construction management as well."
Q1,50.716567,64.81,"Interviewer: Um just wondering how you focus on that because I noticed that your resume shows mostly like HR type stuff with the marines or human capital management type stuff and administrative position what got you into wanting to do construction."
A1,66.07,67.75,"Veteran: Oh it's a little bit of."
A1,67.970501,68.572943,"Veteran: Uh."
A1,69.37,81.980286,"Veteran: Some of the people that um I deployed with one of the army officers, actually, that I deployed with he was a Texas a&m Grad for civil engineering and um."
A1,82.42,98.62,"Veteran: I actually wanted to kind of get into the construction industry, but was a little undecided on what route, I wanted to take, and he kind of brought me in and showed me Texas a&m's like construction science department and that's kind of like what led me towards this area."
BCI,99.91,103.51,"Interviewer: Very cool very cool so he was in the corps of engineers and I guess, he was an engineer."
A1,104.23,106.42,"Veteran: Oh yeah yeah he is all about it."
Q2,107.74,117.91,"Interviewer: Well that's great that's great that he was able to guide you there because yeah a lot of experience with the engineers, I was not an engineer myself, I was in the army, but I did work with a lot of engineers."
Q2,120.1,122.77,"Interviewer: that's great so um so."
Q2,124.33,133.21,"Interviewer: How do you feel you are particularly suited for for an assistant construction manager role, seeing that you've not really done it in the past."
Q2,134.62,144.43,"Interviewer: But, but your your classes are certainly you know sending you that way, how do you feel positioned based on the classes to to do this type of job that's described in the job description."
A2,146.2,159.88,"Veteran: I feel like there's uh probably quite a bit that I still have yet to learn, um but I do feel like there's a little bit just based off of my background in like HR management level that."
A2,160.487495,161.047766,"Veteran: Um."
A2,161.47,169.12,"Veteran: kind of helps me with that side of it just not so much the construction side, but I guess more or less like the administrative side."
A2,170.08,182.62,"Veteran: gives me a little bit of strengths and understanding, like how things go and just what people typically expect from anywhere from cost estimates to reports and punch lists and everything but."
A2,183.160394,183.753799,"Veteran: Um."
A2,184.6,193.15,"Veteran: there's still I think quite a bit on the construction side that i'm going to have to understand, but from an administrative standpoint I think there's a few things that."
A2,194.26,196.21,"Veteran: Um have prepared me for this position."
Q3,197.62,212.23,"Interviewer: So if I were to say, because this is obviously an assistant construction manager job is for residential construction and if I were to come to you and say you know I, I am a builder and i'm going to do, construction of a neighborhood an entire neighborhood."
Q3,213.43,226.24,"Interviewer: And I need an assistant manager to to facilitate the construction of this neighborhood what are some of the first questions you would ask, and what were some of the first things you'd like to see from this this builder."
A3,228.07,239.05,"Veteran: um, I guess, probably the first question, I would like to ask him is like What expectations does he have for me in this position as far as like timelines, personnel."
A3,240.31,242.826234,"Veteran: Um Completion timeframes, budget um."
A3,244.15,260.53,"Veteran: Basically, those main areas of like what are my left and like right lateral limits as far as like this project that we have and like what's I guess like my last and final question to him would be is when is like our drop dead date that we need to have this project done by."
Q4,263.65,267.52,"Interviewer: Well, I can see by your resume that you are you're used to."
Q4,269.56,274.63,"Interviewer: You know supervising across multiple people and multiple groups of people actually."
Q4,275.05,283.42,"Interviewer: You know when it's talking about your administrative work for two different task forces and whatnot so you had a lot of interface with a lot of people, as you would with a with a."
Q4,283.96,288.34,"Interviewer: Construction manager position because you're going to have to have some contractors that you're going to have to."
Q4,289.75,293.02,"Interviewer: You know, deal with and coordinate and, as you know."
Q4,294.31,294.79,"Interviewer: So."
Q4,296.26,303.94,"Interviewer: Given the situation, say that you know you've got a timeline and something happens, you know pick a pick a thing."
Q4,305.47,314.38,"Interviewer: You know the pad didn't get done and and it's going to slow things down you're going to miss a milestone, a schedule milestone."
Q4,314.92,325.03,"Interviewer: And the one of the subcontractor says Well, no, it is not my fault, you know, I was waiting for this to get done and the."
Q4,325.81,331.42,"Interviewer: person that they're talking about, or that the team they're talking about says Well, no, no, no, we had that done."
Q4,332.05,342.67,"Interviewer: And the second version says yeah, but it was it was not done right it's out of spec it's not done, the way we need it done the first one says, though Well, no, it is done to spec, how do you how do you arbitrate a situation like that."
A4,344.47,357.73,"Veteran: Usually, if I got like two different personnel or, like, I guess, in this case, two different subcontractors coming to me with like their problems that's holding us behind on getting things done."
A4,358.368555,363.34,"Veteran: Um I think i'd want to bring both of them in and talk to both of them about like."
A4,364.36,378.13,"Veteran: what's what do they both need to get things done, because at this point like it doesn't really matter like who's holding who behind like we could figure that out after the project is done and address it, but."
A4,379.15,385.51,"Veteran: The project is still working right now and we need to get it done on time so i'm more focused on like what do you guys need to get things done."
A4,386.29,397.87,"Veteran: For both of you so that way we can push on and move forward and then after we get the project done, we can readress it and figure out like Okay, who who did what and what can we do to approve it next time."
Q5,400.21,401.53,"Interviewer: Oh cool and then."
Q5,403.27,405.28,"Interviewer: So for this position."
Q5,406.36,420.07,"Interviewer: What tools and i'm talking about any kind of tools paperwork, or computer, physical tools, what kind of tools would you need from from us to to."
Q5,421.21,422.8,"Interviewer: to at least get started with the show."
A5,424.513658,429.444644,"Veteran: Um I would prefer definitely like a laptop for sure um."
