Type,Start,End,Transcript
Q1,0,3.56148,"Interviewer: Hey, <NAME>, how ya doing? I'm doing well thank you for asking."
Q1,3.994114,13.882891,"Interviewer: Alright, <NAME>, well we're going to jump in to the interview, alright? If you do not hear me clearly or do not understand, just let me know and I'll repeat the question; I'll rephrase it if I need to, okay?"
BCV,14.130111,15.551623,"Veteran: Okay, great, sounds good."
Q1,15.984257,21.917523,"Interviewer: Alright, alright, so, uh, tell me a little bit about your educational background and work experience."
A1,22.535571,50.615011,"Veteran: Okay, my educational background and work experience, I'd, um, completed thirty years with the military. I did twenty-three years of active duty, and then seven years of civil service. So, uh,  joined right out of high school. So, did some college while I was in the Navy; not, not a lot, just a couple of classes. Um, welll my knowledge and education comes from hands-on. Uh, doing "
IRR,50.681479,50.88919,"Interviewer: Alright"
IRR,50.947349,52.002521,"Veteran: recently - go ahead."
IRR,52.696342,54.303268,"Interviewer: Oh, no, go ahead, go ahead, go ahead"
IRR,55.292146,59.494876,"Veteran: Okay, ha, yeah that, I didn't know if want me to explain part of the job or what all I did, or what?"
IRR,59.494876,61.523992,"Interviewer: No, just kind of a quick overview, quick overview. "
IRR,61.573842,62.388069,"Veteran: Okay, okay. That'll do."
IRR,62.43792,64.539955,"Interviewer: Yeah, no, perfect, perfect. Okay"
IRR,64.748289,68.085751,"Interviewer: Um, yeah saw you up in Birmington, huh?"
IRR,69.074629,72.721115,"Veteran: Well, I was going to tell you. I was there from uh, yeah. Yeah, I did ten years up here."
IRR,73.03014,77.912723,"Interviewer: Yeah, yeah I go up there. I go to Birmington, uh, at least twice a month."
IRR,77.912723,81.188381,"Veteran: Okay, okay. Good deal."
IRR,81.223301,93.796572,"Interviewer: That's all. Got some, I got friends up there and so, alright. Alright, so, uh, had, so our next interview question, the interview questions I'm going to ask you, we use what we call the star method interview process. Have you ever heard of that?"
IRR,94.723645,95.54705,"Veteran: Never, no sir."
IRR,95.588592,101.230022,"Interviewer: Alright, alright, so the star method is, uh, a situation, task, action, and results, okay?"
IRR,101.274959,101.620519,"Veteran: Okay."
IRR,101.653753,103.207431,"Interviewer: You don't have to worry, don't worry."
IRR,105.663104,107.39364,"Veteran: Oh, you froze up there a little bit."
IRR,110.916517,113.759541,"Veteran: Ah, you're still frozen. Can you see me?"
IRR,116.650485,124.451781,"Interviewer: I', going to ask you to give me. I will ask you to give me examples, alright? Oh, you hear me now?"
IRR,124.451781,125.996902,"Veteran: Oh, okay, then, now I can. Yes sir."
IRR,125.996902,127.294804,"Interviewer: Ah, you're breaking up. Can you?"
IRR,128.160072,134.711387,"Interviewer: Okay, got it, good. So, uh, so, just think of this star method as a story. Okay?"
IRR,135.329436,136.318313,"Veteran: Okay."
IRR,136.318313,142.12797,"Interviewer: So, so, you have the, just, have a beginning and end. And the, the results is the ending, right? So."
IRR,144.600164,145.094603,"Veteran: Okay."
IRR,149.359138,151.089674,"Veteran: Oh, you froze up again."
IRR,161.411085,165.119377,"Interviewer: Hold on real quick, that's fine. That's fine hold on I'm going to do something. Hold on."
IRR,165.119377,166.355474,"Veteran: Alright."
IRR,166.355474,168.271425,"Interviewer: Okay, that way, maybe that will work better."
IRR,168.271425,169.322107,"Veteran: Okay."
IRR,169.322107,170.496399,"Interviewer: Can you hear me? Can you hear me now?"
IRR,170.496399,171.485277,"Veteran: Yes sir."
Q2,171.485277,180.632396,"Interviewer: Alright, so describe a time when you had to deal with a major change in your work process or job duties and how did you deal with that change?"
A2,182.795566,249.977446,"Veteran: Okay, so, so, we had a meter change where we had to, uh, the USS New York we had to inspect nine of our disel engines, um, but they only gave us a three month window in order to do it and it only takes two to, two to three weeks per inspection. So, what we did, in order to get them all done, was we uh, cordinated with the ship with the regional commanders to allow us to meet the ship at their port of visit prior to returning to us. So, and at that time, they had a, uh, ten day a ten day window right there, so uh, a team of myself and uh, others went up there and started the inspection process and got all the open and inspect all the, all the long lead time items completed. But when they came back into port, then all we had to do was the uh, low lying fruit as per say.  "
Q3,251.028128,266.479343,"Interviewer: Okay, okay. So, what is the toughest work, or school group that you had to get cooperation from? And then how did you go about establishing rapport with that gorup and how did you gain their confidence?"
A3,267.530025,316.726691,"Veteran: The uh, the biggest group I had to coordinate through was actual commanding officer of the ship. Um, of course he's the one in charge of the ship, responsible for the ship. So, it was in uh, doing emails, and phone interviews, or not inteviews, but phone conversations with him, uh, ensuring that, that we were not going to um shut down one of his engines, you know, unless it was something highly critical.That would allow him to sail his ship from point a to point b. I don't want to say places, but point a to point b to get his crew back home and so forth, and then once he agreed to do that then I gave us the confidence that this plan is uh, is the bible."
Q4,318.704447,320.002349,"Interviewer: Alright."
Q4,322.536348,331.250833,"Interviewer: So, how do you react in a situation where you need to make an immediate decision on a major issue? How do you react?"
BCV,331.992491,334.032051,"Veteran: Uh, on a major. Say it again?"
Q4,334.52649,348.061754,"Interviewer: On a major decision, so how, how, so if something, uh, if you have to react to in a situaion where you have to make that immediate decision on a major issue, how do you go about reacting to that process? How is your process?"
A4,348.494388,427.5428,"Veteran: Um, uh, my process is uh, once I see it, uh, I try to look at the big picture, the big scheme of things. Um, is, is it going to hurt personalities? Hurt machinery, you know, within the next, the next time it starts, and the next time it opeates? Um, and then okay, is it still going to be there even though, even though I looked at it. It's still going to be there, and, and, and, and were talking internal engine components, so it's still there. So, whether I looked at it or not it's still going to be a deficiency or an issue, so its, its, if it's something major, that has to be corrected right away, then its, its, its at that point, it's an all stop on what were doing. and as communicated, um, up to the highest level that needs to be. And in this case, its, its the ship's commanding officer, uh, what would show physical evidence, if I could, bring him down, or her down, let them see it, and then uh, explain my case, and then this is why, this is how and this is what we're going to do to fix and correct it. "
Q5,429.644165,436.19548,"Interviewer: Okay, alright, so how do you define leadership?"
BCV,436.751724,438.35865,"Veteran: How do I define leadership?"
Q5,438.35865,439.347528,"Interviewer: Yes, sir."
