Type,Start,End,Transcript
BCV,0.322632,1.15303,"Veteran: Doing good, how are you?"
Q1,1.36692,6.965815,"Interviewer: Yeah, good, so, um, did they explain to you the position for which we're interviewing?"
BCV,7.582323,19.144984,"Veteran: Yeah, in a brief job posting for uh, data scientists with uh, with your company. It looks like you guys, uh,  have a pretty interesting mix of work like uh, doing consulting, training, a lot of cloud-based stuff."
Q1,19.748909,25.284895,"Interviewer: We do, we do. Um, yes, and I see that y-you did a lot with uh, comm and communications."
Q1,26.228529,37.766026,"Interviewer: Um, and uh, yeah, here at uh, at Ft. Cambell as well as uh, you know, overseas for Enduring Freedom. Well, you were in the 101st, huh?"
BCV,38.344789,39.879766,"Veteran: Yes sir, you a veteran yourself sir?"
Q1,40.018166,42.685505,"Interviewer: I am, yes, yes 4 years, 4 years."
BCV,42.962304,43.302012,"Veteran: Which branch?"
Q1,43.302012,44.006592,"Interviewer: I was in the Army."
BCV,44.434373,46.057423,"Veteran: OK, cool. What base were you at?"
Q1,46.711676,53.531004,"Interviewer: Well, uh, I spent 90% of my time overseas uh, through-throughout Europe- Germany, Italy, uh-"
BCV,53.606495,53.870712,"Veteran: Oh, interesting."
Q1,54.034275,55.430854,"Interviewer: Spent a lot of time in Turkey."
BCV,56.122852,63.357379,"Veteran: I had a twin who had the same MMOS as me, and he uh, he was in [inaudible] in the same time frame as me, roughly. "
Q1,63.659341,66.993515,"Interviewer: Oh wow, Graf, yeah, yep, spent some time in Graf, yep."
Q1,68.666892,82.381039,"Interviewer: Interesting, interesting, yeah. It seems like, uh, and-and uh, so it seems like the uh, the position here, uh, that it's talking about is an assistant research, uh scientist, and it looks like you've got a lot of stuff going."
Q1,83.010128,99.857139,"Interviewer: Uh, in that area, for your PHD, um, you know, some of the uh, requirements are able to multitask, work properly with others, um, you know, and then communication skills and efficiency with common programming languages- C, C++, and Python."
Q1,100.410737,117.19484,"Interviewer: Um, and I'm wondering you know, how do you think uh, your-your uh, military career and your work experience, so far uh, has-has augmented uh, your experience relative to the job description?"
A1,118.490764,128.291975,"Veteran: Uh, I think it's, um, advantageous for learning processors, uh, particularly I've seen consulting with one area that you guys uh, do a lot of work in."
A1,129.021718,149.152575,"Veteran: Um, my-my experience has been pretty diverse, I've done, um, you know, of course, the Army experience, but then also I've worked in two different industries, once in land surveying at small businesses and corporate companies that were about 300 people in size, um, I worked at Harvard for a couple years."
A1,149.806828,159.557712,"Veteran: Managing a bioengineering lab, and that was uh, you know very uh, support-focused role, maintaining a lot of equipment, similar to what I did as a [inaudible] guy in the Army."
A1,160.211965,178.455554,"Veteran: Um, also helping to manage projects, write proposals, and uh, I think that experience helps me to, pretty quickly, um, grasp, uh, new problems uh, especially, I think, a lot more like, in a project-focused way."
A1,178.56879,198.611575,"Veteran: Uh, at a higher level than just typing technical specs um, I'm a lot more interested in, you know, why you would want to do something, um, you know early on. If I'm meeting someone new, to discuss a project, I think that, that's usually the funnest part of any any uh, new endeavor is the ideation step or, connecting with new people."
A1,198.963865,215.848621,"Veteran: And uh, you know, the starting steps, uh, technical requirements are all [inaudible] as well, but uh, I-I think, most of my prior experience is really good for uh, you know, that higher level, like, project focus and team management."
A1,216.175748,217.974943,"Veteran: Uh, would work."
Q2,218.679523,230.783201,"Interviewer: That's a good segue. When-when you're selecting someone for a team, uh, you know, pick a type of team, whatever you want- um, you know, and you said you'd like to know about them and why they wanna do what they wanna do, what kind of questions do you ask them?"
BCV,232.884359,236.734386,"Veteran: Um, if I'm choosing team members? Or..."
Q2,236.935694,248.888391,"Interviewer: Yeah, if you're choosing team members, you wanna add somebody to the team, and you mentioned, you know, you'd like to know why are you doing this, I mean, other than just asking them, ""well why do you want to do this?"", is there some kind of fishing type questions, "
A2,248.9513,263.068063,"Veteran: Yeah, in my last job, my favorite interview question was to ask someone um, you know, what-what is the job you want after this one?  [laughter] Because a lot of people, uh, tend to have long term ideas about what their career goals are, and um-"
A2,264.250751,274.353925,"Veteran: You know y-your job is most likely an intermediate step for them so it's nice to know, is uh, that question usually runs someone into a, you know-"
A2,276.744464,293.138531,"Veteran: Exposing if they are, uh, considering your job as a very temporary one, or if they're thinking pretty long term, uh, how much they know about your company, how much they know about their industry, and where they want to be in their industry. Uh, so I really love, heh, uh, asking people that question when interviewing them."
A2,293.377585,305.368027,"Veteran: Um, but also, trying to reconnect as we did about uh, backgrounds, uh, lived in Boston, Nashville- well not Nashville, but close to Nashville um, New Orleans, "
BCI,305.443518,306.613624,"Interviewer: Knoxville?"
A2,307.167222,329.27342,"Veteran: Uh, yes, heh, uh, trying to connect with people over geography or, uh, mutual relationships um, once you start getting into technical things then, uh, you know project experience- I've done a lot of spatial stuff, and I've done a lot of bio- you know, bio work, and uh, you know I have my own interest in statistics and data science of course."
A2,329.525055,346.736938,"Veteran: I-I'd say those three things- like uh, trying to figure out where you're trying to go in your career, um, how can- if I'm uh, in a hiring position then, how can I help facilitate that, um, what experiences do you have in your personal [inaudible] and your professional life that we connect on."
