Type,Start,End,Transcript
IRR,0.215714,1.976298,"Interviewer: Hi <NAME>, how are you?"
IRR,2.244213,4.617174,"Veteran: Excellent, how are you?"
IRR,4.617174,120.854011,"Interviewer: Good, good, so, um, if we were in a real interview situation, um, um, I'd basically introduce myself, which I'll do and then I would go forward, and it looks like you've had a, ah, had previous work experience, so I'm sure you've seen this before, where I'll explain the interview process and just the expectations and then give your the opportinity to repond to the questions and then ask your own questions, and at the end, well just let you, uh, sell me on why you're the best cadidate for this position, so I'd like to jump in my name is Barbara Coats, I am the manager of Team Member Engagement at <NAME>, which um, because we are ladies, I can just say this, the fairy godmother of all things, right? That's that's basically that my job title. Ha ha ha ha ha ha ha. I am retired Navy Chief, spent ten years at the CSX railroad before I came to Haskell, um, so I have worked in the field and I have worked in the offices. So, for our interview practice is what I'd first like to do is going to be three parts. The first part is um, one of the things their team and I, I said was for you to look at a job posting. If you didn't get the opportunity to do that I just kind of want you to think of a job posting that you might have read and that might be at Haskell. But the first thing I'm going to ask you to do is, tell me why you think you want to work at Haskell Second thing I'm going to ask you to do is relate your job experience to that fo-job posting. And then, I'll give you the opportunity to ask questions about Haskell, about the work enviornment whatever you feel is important to you to make this decision, to join our team, and then again, I'll give you that opportunity to sell yourself as the best candidate. So, does that sounds a acceptable to you as a job, uh, description for this interview?"
IRR,120.854011,131.45579,"Veteran: Ha, um, yeah, I, I think I'm a little unprepared bec, um, I want, I am just not prepared. I didn't sort of research Haskell and I'm not really sure."
IRR,131.685431,132.680544,"Interviewer: I get that."
IRR,132.757091,133.560836,"Veteran: Okay."
IRR,133.560836,187.137253,"Interviewer: I get that, so, my experience with this process is, is like if you were at US Pathfinders, like I would have communicated with you these expectations. I realize that since we are using, working with the university, that there may have been a gap in communication, so I am fine with winging it and that cheif in me is going to coach a little bit to the side, um, and, um, just, uh, uh background, my boss is a West Point grad, um, she is phenominal, she went to Columbia, um, business school, so she and I talk Navy, Army all the time. Um, I also worked for the USACBRNS in Fort Leonard Wood. So, I, I did a lot of online learning for, for the Army. I designed a lot of lessons for AKO, so, I, I can kind of follow along with you, so we're there. "
IRR,187.273432,187.871034,"Veteran: Okay."
IRR,188.008799,189.724655,"Interviewer: We're pretending. We're practicing. "
IRR,189.75189,191.813212,"Veteran: Alright, pretend, let's, let's pretend."
IRR,192.195948,211.309034,"Interviewer: There you go, most, most good compnies that you go to will explain the interview process to you before you show up and when you sit down and it's our job as interviewer to make you feel comfortable in the position. If you are sitting across from a bunch of jerks, it's not your place, it's not your job. Ha ha ha ha ha."
IRR,211.363506,212.978497,"Veteran: Yeah for sure."
IRR,213.43778,216.143391,"Interviewer: Okay, that's just me to you, ha ha ha."
IRR,216.197862,217.954572,"Veteran: Right, got it."
Q1,218.221976,228.211379,"Interviewer: So, um, again, so Jacqueline, tell me a little bit about what attracted you to the Haskell company and what we do as as design, build firm, and construction."
A1,229.168218,271.690156,"Veteran: Well, personally, um, I grew up aro, around residential construction growing up, so I've always you know, been really attracted to work sites and um, you know, superintendents, foreman, and how everything comes together, how all of the pieces, there, there's always, um, it's like a puzzle, you know, and there's always a moving wheel of many things that are going on, but at the ultimate, you know, um, end of the day, it is a beautiful product. So, um, I'd like to be a part of that puzzle and, and figure out how all these meeting pieces sort of fit together to create a final product."
Q2,272.838363,342.151801,"Interviewer: Well put, well put. I like how you uh, brought in the logisitics and the project completion. That's awesome. And when you read a real job posting - a real one - you'll want to, um, relate what is in the job posting to your experience. In other words, they want to hire who is in their job posting. They really don't want your work life history.They want to know what you do that's in that job posting. So, just, just remember that when you're doing that, because the person knows who they're hiring. Um, but they're also trying to find out that your experience fits that. So, I'm going to read from your resume and say, tell me a little bit about, so here at Haskell we're hiring you as a project manager, so as that project manager you're going to be supporting, um, not only the client, but our project leads, so tell me how your effectively manage or direct your schedule, uh, and the travel and the training, and everything that their team needed, so I see that you've did that and I'd like to know more about how that can relate to us."
