Type,Start,End,Transcript
Q1,0,1.119727,"Interviewer: <NAME>, how are you?"
BCV,1.547721,2.805762,"Veteran: I'm well, how about yourself sir?"
Q1,2.805762,31.727747,"Interviewer: Doing good, yeah, appreciate you taking time to visit with me today, and like I told the individual before, I, ah, I married into an Aggie family. I was not an Aggie fan ha ha ha, but I had the chance to come down to your neck of the woods in Thanksgiving of twenty-nineteen and loved it, it's, it's a great place, so, yeah. So, I, I, if we put everything into a resume, it, it would be ten pages long, right? So, I would start out with just, tell me abou yourself, and, and kinda what you're looking to do"
A1,32.791246,83.657625,"Veteran: Oh, well actually when I saw the ah, ah, I've never interviewed for a job that I have no idea what, what the job would be, so. Um, it's a little different. Um, but as far it goes, I figured it's always possible that have to interview for a job later in life. You don't know that you're going to be in a place for two years or twenty. So, I thought this would be a great opportunity to sharpen my interview skills, or at the very least, be, you know, be reintroduced to what they are. But, I actually, uh, came to, uh, Aggieland, uh, well, just under three years, myself. I uh, my girlfriend lives here. Um, there's an opening in the university, that becuase of somebody she knew at the Legion, uh, post. Uh, they gave me a phone interview. They asked me to fly out, and finish the interview. I flew out, they offered me the job that day, so."
BCI,83.657625,88.624943,"Interviewer: That's great. Well, good, so are you a finnancial aid advisor right now?"
A1,89.091846,89.714381,"Veteran: I am, yes."
BCI,89.739673,95.628473,"Interviewer: Okay. Good, so that's for, is it for Hazelwood? Or, what's the-"
A1,96.199132,119.103269,"Veteran: Well, I, I, it's a Hazelwood, uh, the Hazelwood exemption act, and the Texas armed services scholarship program, uh, and basically I review all the applicants if they, if they, uh, they get approved for it, I go ahead and process it all the way through. Um, considering what, what, uh, decade we live in, that process is extremely manual"
Q2,119.479384,151.099025,"Interviewer: Okay, ha ha. Well that sounds like ah, yeah. Uh, arduious, so. Well good, so, um. I guess going into today for this interview, you know, what, what step have you taken to, I guess prepare yourself for this conversation, whether that be going back through your, your resume just to look back over your experince or doing research to prep for questions, or if it's, you know, just jumping in?"
A2,151.890165,164.885604,"Veteran: Um, wa- the thing that I thought was the most important a, a- that I did spend sometime in particular this weekend was refamiliarizing myself with my, my resume because we get so caught up in the day-to-day of whatever job your doing especialy if you've been doing it for years, um, that, that you may forget what you did before and how much of your time and, uh expertise and what knowledge you had to gain to do those jobs, Um, so I thought it would be a good idea to refamiliarize myself especially since I will tell you that, I, I, didn't plan on getting the interview for the last job. I came completely unprepared, uh, that they wanted me for the job was, but nobody was more surprised than I was."
BCI,190.824604,191.213689,"Interviewer: Right."
BCI,192.601425,193.13192,"Interviewer: Yeah, you actually just-"
A2,193.15066,194.858118,"Veteran: I'm actually more prepared for this interview."
Q3,195.234233,214.377216,"Interviewer: Yeah, having, it's, it's sometimes eye-opening when candidates look back through their resume and go ""gosh, I can't believe I forgot that I had that in there, or I had whatever."" So, okay good, refresher, so. So, what are some, um, some strong points or strengths that you would bring to any position?"
A3,216.167007,287.603013,"Veteran: Um, I, I have a good eye for detail. If I, if I, well in particular with this job and the last few that I've had, they, they were, had some pretty strong state and federal guidelines. Um, the paperwork for them was, uh, uh, detailed, uh, and, and I'm don't know if you've ever seen a DD-two-fourteen, but the thing is, the information on there is one sheet. People think ""how hard could it be?"" But considering the, the things the state puts emphasis on, it, it's important to, to be able to keep an eye on all these and make sure you know every detail, becuase I've had a director of my unit walk up to me and say ""here's a, can you tell me a name, and why did you approve this?"" And I've had to be able to defend it. And, and, uh. Uh, fortunately, I'm good with names, and number details, and things like that. Um, also, I'm, especially once I've been doing a job a little while, I'm, I wouldn't say I'm arrogant, but I'm pretty confident, so when they ask me a quesiton, they know I'm not going to bluff. They know , if I don't know the answer, I say I don't know. Um, a, and, so, they, they, uh, I bring honesty to whatever I do. "
BCI,287.901311,289.276078,"Interviewer: And transparency it sounds like."
A3,289.457651,290.145034,"Veteran: That's right."
Q4,290.715692,291.8181,"Interviewer: Good. Great."
Q4,292.155307,300.261244,"Interviewer: So, conversely, going into a different role, what are, what's somethings that you think that you can improve on?"
A4,301.648981,337.718707,"Veteran: Um, well, uh, and this has been true since the beginning of my career. Um, I, when a lot of things were thrown at me from different directions, when I don't tend to write them down, things tend to slip. Uh, so most of the time, I'm really good at keeping a pen and a piece of paper very close by, um, but I've occasionally had to ask people to slow down, or, or, and, and along with that, had a hard time telling them, there's too much going on at this point. You need to, um, spread the work out, instead of just saying ""yeah that I'll just keep trying to shoulder more work."" Not a good idea."
Q5,339.999792,342.619632,"Interviewer: Okay, yeah, nope, that's fair. Definitely."
Q5,343.462649,349.208137,"Interviewer: So in your career, your prof-, your professional career. What would you consider to be one of your biggest achievements?"
A5,350.349453,451.485614,"Veteran: Um, I, there, well, uh, there are two that I really like, and the first is that uh, during the first, I call it ""the first Gulf War"", but during Dessert Storm. Um, the military had an incredibly manual way of doing things. They had what they call RFIs, uh, which is just a request for informaiton, which in particular is for um, uh, intelliegnce. That, that was the work that I did. And they had SR-seventy-one, satillite information, human information, eland, um, and people would just hand them in on their slip of paper and you had a lot of duplication of effort, uh, a lot of unnecessary delays. Somebody would ask for something of it and litterally had a picture taken an hour earlier, but becuase nobody knew that it had already been done, the request would wait until the next satillite passed. And so, I sat down overnight becuase I had a tendancy to not sleep a lot. I wrote a database and overnight, put in over five-hundred of the, I mean, just wrote the database that was back when you could write a database overnight. Um, and litterally save, uh, uh, a couple hundred million in SR-seventy-one and satillite imagry, uh information. Uh, not to mention the time it requires and the delays that could be caused by waiting the, those times. Um, very proud of that, because, no, nobody else seemed to understand the need for something like that. Um, but the other one was very simple. I, I took uh, time off and became a school teacher for two years and taught middle school history and uh, uh, got teacher of the year award the first year that I did it and it was only becuase I loved the kids so much I had a great time doing it."
Q6,451.926577,455.026288,"Interviewer: Yeah, I that's great. That sounds like amazing work, so."
Q6,455.804458,457.127347,"Interviewer: Good, so, um."
Q6,458.618839,472.690747,"Interviewer: You kind of talked about the, what those achievements. That doesn't make sense right there. So, are you wanting to stay put if you are to move? Are wanting to stay put in the College Station area, or are you open to other geographical locations? "
BCV,473.002015,474.42866,"Veteran: I'm pretty open."
Q6,474.713989,475.284647,"Interviewer: Okay."
Q6,476.088756,489.032317,"Interviewer: And what. what is your timeframe? Are you, I guess have you been interviewing? Are you at a point where you are ready to move for the right position, and so, you know, what would that opportunity look like?"
A6,490.173633,512.001301,"Veteran: Um, I, I, in the past I have made made lateral moves for not much of a difference in pay, um, just looking for a new opporunity, or, I mean, don't, I'll be honest  Once in a while I thought the job situation I was in was, uh, tenuous. Um, I, look at the places that I've worked before and a few of them don't exist anymore."
BCI,512.597899,513.376069,"Interviewer: It happens."
A6,513.44736,538.951923,"Veteran: Uh, yes, it does, and, and I, I, was really good at reading the writing on the wall and moving at a moment's notice. I don't feel like that's the case with Texas A and M. I think it's a pretty solid organization. Um, but for the right money and, and, uh, right place especially, I have children that are right with me right now, but they live in Memphis Tennesse. If a job came open closer to Memphis, so I could be closer to them, I would probably take it pretty quick"
